,yea,nay,bill,no. yea
0,"['Billig', 'Carlyle', 'Cleveland', 'Conway', 'Darneille', 'Das', 'Dhingra', 'Frockt', 'Hasegawa', 'Hobbs', 'Hunt', 'Keiser', 'Kuderer', 'Liias', 'Lovelett', 'McCoy', 'Nguyen', 'Pedersen', 'Randall', 'Rolfes', 'Saldaña', 'Salomon', 'Takko', 'Van De Wege', 'Wellman', 'Wilson', 'C.']","['Bailey', 'Becker', 'Braun', 'Brown', 'Ericksen', 'Fortunato', 'Hawkins', 'Holy', 'Honeyford', 'King', 'Mullet', ""O'Ban"", 'Padden', 'Rivers', 'Schoesler', 'Sheldon', 'Short', 'Wagoner', 'Walsh', 'Warnick', 'Wilson', 'L.', 'Zeiger']",['SI 1000'],27
10,"['Appleton', 'Bergquist', 'Callan', 'Chapman', 'Chopp', 'Cody', 'Davis', 'Doglio', 'Dolan', 'Duerr', 'Entenman', 'Fey', 'Fitzgibbon', 'Frame', 'Goodman', 'Gregerson', 'Hansen', 'Hudgins', 'Jinkins', 'Johnson', 'J.', 'Kilduff', 'Kirby', 'Kloba', 'Leavitt', 'Lekanoff', 'Lovick', 'Macri', 'Mead', 'Morgan', 'Ormsby', 'Ortiz-Self', 'Orwall', 'Paul', 'Pellicciotti', 'Peterson', 'Pettigrew', 'Pollet', 'Ramel', 'Ramos', 'Riccelli', 'Robinson', 'Ryu', 'Santos', 'Sells', 'Senn', 'Shewmake', 'Slatter', 'Springer', 'Stonier', 'Sullivan', 'Tarleton', 'Thai', 'Tharinger', 'Valdez', 'Walen', 'Wylie']","['Barkis', 'Blake', 'Boehnke', 'Caldier', 'Chambers', 'Chandler', 'Corry', 'DeBolt', 'Dent', 'Dufault', 'Dye', 'Eslick', 'Gildon', 'Goehner', 'Graham', 'Griffey', 'Harris', 'Hoff', 'Irwin', 'Jenkin', 'Klippert', 'Kraft', 'Kretz', 'MacEwen', 'Maycumber', 'McCaslin', 'Mosbrucker', 'Orcutt', 'Rude', 'Schmick', 'Shea', 'Smith', 'Steele', 'Stokesbary', 'Sutherland', 'Van Werven', 'Vick', 'Volz', 'Walsh', 'Wilcox', 'Ybarra', 'Young']",['SHB 1010'],57
12,"['Billig', 'Carlyle', 'Cleveland', 'Darneille', 'Das', 'Dhingra', 'Fortunato', 'Frockt', 'Hasegawa', 'Hawkins', 'Hunt', 'Keiser', 'King', 'Kuderer', 'Liias', 'Lovelett', 'Nguyen', ""O'Ban"", 'Palumbo', 'Pedersen', 'Randall', 'Rivers', 'Rolfes', 'Saldaña', 'Salomon', 'Takko', 'Van De Wege', 'Walsh', 'Wellman', 'Wilson', 'C.', 'Zeiger']","['Becker', 'Braun', 'Brown', 'Ericksen', 'Holy', 'Honeyford', 'Padden', 'Schoesler', 'Short', 'Wagoner', 'Warnick', 'Wilson', 'L.']",['SHB 1012'],32
14,"['Becker', 'Billig', 'Braun', 'Brown', 'Carlyle', 'Cleveland', 'Darneille', 'Das', 'Dhingra', 'Ericksen', 'Fortunato', 'Frockt', 'Hasegawa', 'Hawkins', 'Holy', 'Honeyford', 'Hunt', 'Keiser', 'King', 'Kuderer', 'Liias', 'Lovelett', 'Nguyen', ""O'Ban"", 'Padden', 'Palumbo', 'Pedersen', 'Randall', 'Rivers', 'Rolfes', 'Saldaña', 'Salomon', 'Schoesler', 'Takko', 'Van De Wege', 'Wagoner', 'Walsh', 'Warnick', 'Wellman', 'Wilson', 'C.', 'Wilson', 'L.', 'Zeiger']",['Short'],['HB 1014'],44
23,"['Billig', 'Braun', 'Brown', 'Carlyle', 'Cleveland', 'Conway', 'Darneille', 'Das', 'Dhingra', 'Frockt', 'Hasegawa', 'Hawkins', 'Hobbs', 'Holy', 'Hunt', 'Keiser', 'King', 'Kuderer', 'Liias', 'Lovelett', 'McCoy', 'Mullet', 'Muzzall', 'Nguyen', 'Padden', 'Pedersen', 'Randall', 'Rivers', 'Rolfes', 'Saldaña', 'Salomon', 'Schoesler', 'Short', 'Stanford', 'Takko', 'Van De Wege', 'Wagoner', 'Walsh', 'Wellman', 'Wilson', 'C.', 'Wilson', 'L.']","['Ericksen', 'Fortunato', 'Honeyford', ""O'Ban"", 'Warnick', 'Zeiger']",['ESHB 1023'],43
26,"['Billig', 'Carlyle', 'Cleveland', 'Conway', 'Darneille', 'Das', 'Dhingra', 'Frockt', 'Hasegawa', 'Hobbs', 'Hunt', 'Keiser', 'Kuderer', 'Liias', 'Lovelett', 'Mullet', 'Nguyen', 'Palumbo', 'Randall', 'Rolfes', 'Saldaña', 'Salomon', 'Sheldon', 'Wellman', 'Wilson', 'C.']","['Bailey', 'Becker', 'Braun', 'Brown', 'Ericksen', 'Fortunato', 'Hawkins', 'Holy', 'Honeyford', 'King', ""O'Ban"", 'Padden', 'Pedersen', 'Rivers', 'Schoesler', 'Short', 'Takko', 'Van De Wege', 'Wagoner', 'Walsh', 'Warnick', 'Wilson', 'L.', 'Zeiger']",['HB 1026'],26
33,"['Appleton', 'Barkis', 'Bergquist', 'Blake', 'Boehnke', 'Caldier', 'Callan', 'Chambers', 'Chapman', 'Chopp', 'Cody', 'Corry', 'Davis', 'DeBolt', 'Dent', 'Doglio', 'Dolan', 'Dye', 'Entenman', 'Fey', 'Fitzgibbon', 'Frame', 'Gildon', 'Goehner', 'Goodman', 'Graham', 'Gregerson', 'Hansen', 'Harris', 'Hoff', 'Hudgins', 'Irwin', 'Jinkins', 'Kilduff', 'Kirby', 'Klippert', 'Kloba', 'Kretz', 'Leavitt', 'Lekanoff', 'Lovick', 'Macri', 'Maycumber', 'Mead', 'Morgan', 'Morris', 'Mosbrucker', 'Orcutt', 'Ormsby', 'Ortiz-Self', 'Orwall', 'Paul', 'Pellicciotti', 'Peterson', 'Pettigrew', 'Pollet', 'Ramos', 'Reeves', 'Riccelli', 'Robinson', 'Rude', 'Ryu', 'Santos', 'Schmick', 'Sells', 'Senn', 'Shewmake', 'Slatter', 'Smith', 'Springer', 'Stanford', 'Steele', 'Stokesbary', 'Stonier', 'Sullivan', 'Sutherland', 'Tarleton', 'Thai', 'Tharinger', 'Valdez', 'Van Werven', 'Volz', 'Walen', 'Wilcox', 'Wylie', 'Ybarra', 'Young']","['Chandler', 'Dufault', 'Eslick', 'Griffey', 'Jenkin', 'Kraft', 'MacEwen', 'McCaslin', 'Shea', 'Vick', 'Walsh']",['E2SHB 1033'],87
39,"['Appleton', 'Barkis', 'Bergquist', 'Blake', 'Caldier', 'Callan', 'Chambers', 'Chapman', 'Chopp', 'Cody', 'Corry', 'Davis', 'Doglio', 'Dolan', 'Entenman', 'Fey', 'Fitzgibbon', 'Frame', 'Gildon', 'Goehner', 'Goodman', 'Graham', 'Gregerson', 'Griffey', 'Hansen', 'Harris', 'Hoff', 'Hudgins', 'Irwin', 'Jinkins', 'Kilduff', 'Kirby', 'Klippert', 'Kloba', 'Kraft', 'Kretz', 'Leavitt', 'Lekanoff', 'Lovick', 'MacEwen', 'Macri', 'Maycumber', 'Mead', 'Morgan', 'Morris', 'Mosbrucker', 'Ormsby', 'Ortiz-Self', 'Orwall', 'Paul', 'Pellicciotti', 'Peterson', 'Pettigrew', 'Pollet', 'Ramos', 'Riccelli', 'Robinson', 'Rude', 'Ryu', 'Santos', 'Sells', 'Senn', 'Shewmake', 'Slatter', 'Smith', 'Springer', 'Stanford', 'Steele', 'Stokesbary', 'Stonier', 'Sullivan', 'Sutherland', 'Tarleton', 'Thai', 'Tharinger', 'Valdez', 'Van Werven', 'Volz', 'Walen', 'Walsh', 'Wilcox', 'Wylie']","['Boehnke', 'Chandler', 'DeBolt', 'Dent', 'Dufault', 'Dye', 'Eslick', 'Jenkin', 'McCaslin', 'Orcutt', 'Schmick', 'Shea', 'Vick', 'Ybarra', 'Young']",['2SHB 1039'],82
48,"['Billig', 'Carlyle', 'Cleveland', 'Conway', 'Darneille', 'Das', 'Dhingra', 'Frockt', 'Hasegawa', 'Hawkins', 'Hobbs', 'Hunt', 'Keiser', 'Kuderer', 'Liias', 'Lovelett', 'Mullet', 'Nguyen', 'Palumbo', 'Pedersen', 'Randall', 'Rolfes', 'Saldaña', 'Salomon', 'Takko', 'Van De Wege', 'Walsh', 'Wellman', 'Wilson', 'C.']","['Bailey', 'Becker', 'Braun', 'Brown', 'Ericksen', 'Fortunato', 'Holy', 'Honeyford', 'King', ""O'Ban"", 'Padden', 'Rivers', 'Schoesler', 'Sheldon', 'Short', 'Wagoner', 'Warnick', 'Wilson', 'L.', 'Zeiger']",['2SHB 1048'],30
61,"['Appleton', 'Barkis', 'Bergquist', 'Blake', 'Boehnke', 'Caldier', 'Callan', 'Chambers', 'Chandler', 'Chapman', 'Chopp', 'Cody', 'Corry', 'Davis', 'DeBolt', 'Dent', 'Doglio', 'Dolan', 'Duerr', 'Dufault', 'Dye', 'Eslick', 'Fey', 'Fitzgibbon', 'Frame', 'Gildon', 'Goehner', 'Goodman', 'Graham', 'Gregerson', 'Griffey', 'Hansen', 'Harris', 'Hoff', 'Hudgins', 'Irwin', 'Jenkin', 'Jinkins', 'Johnson', 'J.', 'Kilduff', 'Kirby', 'Klippert', 'Kloba', 'Kraft', 'Kretz', 'Lekanoff', 'Lovick', 'MacEwen', 'Macri', 'Maycumber', 'McCaslin', 'Mead', 'Morgan', 'Mosbrucker', 'Orcutt', 'Ormsby', 'Ortiz-Self', 'Orwall', 'Paul', 'Pellicciotti', 'Peterson', 'Pettigrew', 'Pollet', 'Ramel', 'Riccelli', 'Robinson', 'Rude', 'Ryu', 'Santos', 'Schmick', 'Sells', 'Senn', 'Shea', 'Shewmake', 'Slatter', 'Smith', 'Springer', 'Steele', 'Stokesbary', 'Stonier', 'Sullivan', 'Sutherland', 'Tarleton', 'Thai', 'Tharinger', 'Valdez', 'Van Werven', 'Vick', 'Volz', 'Walen', 'Walsh', 'Wilcox', 'Wylie', 'Ybarra']","['Entenman', 'Leavitt', 'Ramos', 'Young']",['HB 1061'],95
